wtp,arm,mean_price,lower_95,upper_95
0,Esketamine,0.0,0.0,-0.0
25000,Esketamine,-631.7234342365197,-631.7234342365197,-631.7234342365197
50000,Esketamine,-1263.4468684730393,-1263.4468684730393,-1263.4468684730393
75000,Esketamine,-1895.170302709559,-1895.170302709559,-1895.170302709559
100000,Esketamine,-2526.8937369460787,-2526.8937369460787,-2526.8937369460787
0,Psilocybin,0.0,0.0,-0.0
25000,Psilocybin,-631.7234342365197,-631.7234342365197,-631.7234342365197
50000,Psilocybin,-1263.4468684730393,-1263.4468684730393,-1263.4468684730393
75000,Psilocybin,-1895.170302709559,-1895.170302709559,-1895.170302709559
100000,Psilocybin,-2526.8937369460787,-2526.8937369460787,-2526.8937369460787
0,Oral_ketamine,,,
25000,Oral_ketamine,,,
50000,Oral_ketamine,,,
75000,Oral_ketamine,,,
100000,Oral_ketamine,,,
