arm,wtp,expected_regret
ECT_std,0,11104.272415673106
ECT_std,25000,68204.42734360904
ECT_std,50000,131159.8169805241
ECT_std,75000,194115.20661743986
ECT_std,100000,257070.59625435458
Esketamine,0,11104.272415673106
Esketamine,25000,68858.10566053359
Esketamine,50000,132467.1736143733
Esketamine,75000,196076.24156821356
Esketamine,100000,259685.309522053
Ketamine_IV,0,11104.272415673106
Ketamine_IV,25000,68838.10566053359
Ketamine_IV,50000,132427.1736143733
Ketamine_IV,75000,196016.24156821403
Ketamine_IV,100000,259605.309522053
Psilocybin,0,11104.272415673106
Psilocybin,25000,68858.10566053359
Psilocybin,50000,132467.1736143733
Psilocybin,75000,196076.24156821356
Psilocybin,100000,259685.309522053
